Iter;Problem;QPU;Qubits;Searched;Dec;Bin;Expected;Obtained;Error
5;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;133;133
5;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;162;162
5;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;117;117
5;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;153;153
5;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;108;108
5;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;140;140
5;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;1047;119;928
5;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;1047;146;901
5;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;107;107
5;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;130;130
5;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;120;120
5;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;162;162
5;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;127;127
5;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;146;146
5;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;135;135
5;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;125;125
5;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;125;125
5;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;135;135
5;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;122;122
5;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;140;140
5;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;129;129
5;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;142;142
5;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;126;126
5;Grover_4num_5Q;ibm_brisbane;5;4;31;'11111;1047;144;903
6;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;1047;126;921
6;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;128;128
6;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;113;113
6;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;137;137
6;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;120;120
6;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;152;152
6;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;125;125
6;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;146;146
6;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;121;121
6;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;131;131
6;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;122;122
6;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;129;129
6;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;140;140
6;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;133;133
6;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;1047;106;941
6;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;1047;137;910
6;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;133;133
6;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;140;140
6;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;143;143
6;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;151;151
6;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;122;122
6;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;153;153
6;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;112;112
6;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;143;143
6;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;113;113
6;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;127;127
6;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;139;139
6;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;142;142
6;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;115;115
6;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;126;126
6;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;117;117
6;Grover_4num_5Q;ibm_brisbane;5;4;31;'11111;1047;145;902
7;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;1047;126;921
7;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;147;147
7;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;132;132
7;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;130;130
7;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;108;108
7;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;149;149
7;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;120;120
7;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;127;127
7;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;136;136
7;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;129;129
7;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;121;121
7;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;125;125
7;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;118;118
7;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;119;119
7;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;1047;144;903
7;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;1047;125;922
7;Grover_4num_5Q;ibm_brisbane;5;4;16;'10000;0;109;109
7;Grover_4num_5Q;ibm_brisbane;5;4;17;'10001;0;144;144
7;Grover_4num_5Q;ibm_brisbane;5;4;18;'10010;0;128;128
7;Grover_4num_5Q;ibm_brisbane;5;4;19;'10011;0;141;141
7;Grover_4num_5Q;ibm_brisbane;5;4;20;'10100;0;125;125
7;Grover_4num_5Q;ibm_brisbane;5;4;21;'10101;0;135;135
7;Grover_4num_5Q;ibm_brisbane;5;4;22;'10110;0;137;137
7;Grover_4num_5Q;ibm_brisbane;5;4;23;'10111;0;142;142
7;Grover_4num_5Q;ibm_brisbane;5;4;24;'11000;0;144;144
7;Grover_4num_5Q;ibm_brisbane;5;4;25;'11001;0;140;140
7;Grover_4num_5Q;ibm_brisbane;5;4;26;'11010;0;135;135
7;Grover_4num_5Q;ibm_brisbane;5;4;27;'11011;0;143;143
7;Grover_4num_5Q;ibm_brisbane;5;4;28;'11100;0;114;114
7;Grover_4num_5Q;ibm_brisbane;5;4;29;'11101;0;117;117
7;Grover_4num_5Q;ibm_brisbane;5;4;30;'11110;0;124;124
7;Grover_4num_5Q;ibm_brisbane;5;4;31;'11111;1047;153;894
8;Grover_4num_5Q;ibm_brisbane;5;4;0;'00000;1047;127;920
8;Grover_4num_5Q;ibm_brisbane;5;4;1;'00001;0;142;142
8;Grover_4num_5Q;ibm_brisbane;5;4;2;'00010;0;121;121
8;Grover_4num_5Q;ibm_brisbane;5;4;3;'00011;0;149;149
8;Grover_4num_5Q;ibm_brisbane;5;4;4;'00100;0;108;108
8;Grover_4num_5Q;ibm_brisbane;5;4;5;'00101;0;146;146
8;Grover_4num_5Q;ibm_brisbane;5;4;6;'00110;0;136;136
8;Grover_4num_5Q;ibm_brisbane;5;4;7;'00111;0;146;146
8;Grover_4num_5Q;ibm_brisbane;5;4;8;'01000;0;124;124
8;Grover_4num_5Q;ibm_brisbane;5;4;9;'01001;0;136;136
8;Grover_4num_5Q;ibm_brisbane;5;4;10;'01010;0;111;111
8;Grover_4num_5Q;ibm_brisbane;5;4;11;'01011;0;122;122
8;Grover_4num_5Q;ibm_brisbane;5;4;12;'01100;0;127;127
8;Grover_4num_5Q;ibm_brisbane;5;4;13;'01101;0;128;128
8;Grover_4num_5Q;ibm_brisbane;5;4;14;'01110;1047;128;919
8;Grover_4num_5Q;ibm_brisbane;5;4;15;'01111;1047;113;934
